id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated
github.com/golang/snappy@v0.0.5-0.20220116011046-fa5810519dcb,github.com/golang/snappy,v0.0.5-0.20220116011046-fa5810519dcb,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/go-logfmt/logfmt@v0.5.1,github.com/go-logfmt/logfmt,v0.5.1,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/go-martini/martini@v0.0.0-20170121215854-22fa46961aab,github.com/go-martini/martini,v0.0.0-20170121215854-22fa46961aab,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/google/go-cmp@v0.6.0,github.com/google/go-cmp,v0.6.0,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/google/gofuzz@v1.2.0,github.com/google/gofuzz,v1.2.0,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/google/go-querystring@v1.1.0,github.com/google/go-querystring,v1.1.0,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/google/pprof@v0.0.0-20230207041349-798e818bf904,github.com/google/pprof,v0.0.0-20230207041349-798e818bf904,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/google/subcommands@v1.2.0,github.com/google/subcommands,v1.2.0,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/google/uuid@v1.6.0,github.com/google/uuid,v1.6.0,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/go-ole/go-ole@v1.3.0,github.com/go-ole/go-ole,v1.3.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/go-playground/locales@v0.14.0,github.com/go-playground/locales,v0.14.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/go-playground/universal-translator@v0.18.0,github.com/go-playground/universal-translator,v0.18.0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/go-playground/validator@v10.11.1,github.com/go-playground/validator,v10.11.1,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/gorilla/css@v1.0.0,github.com/gorilla/css,v1.0.0,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/gorilla/websocket@v1.4.2,github.com/gorilla/websocket,v1.4.2,golang,0,0,0,0,,,hashgraph/hedera-sdk-go:go.mod,,,,,
github.com/go-sourcemap/sourcemap@v2.1.3+incompatible,github.com/go-sourcemap/sourcemap,v2.1.3+incompatible,golang,0,0,0,0,,BSD-2-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,
github.com/go-task/slim-sprig@v0.0.0-20210107165309-348f09dbbbc0,github.com/go-task/slim-sprig,v0.0.0-20210107165309-348f09dbbbc0,golang,0,0,0,0,,MIT,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MIT,,,,
github.com/graph-gophers/graphql-go@v1.3.0,github.com/graph-gophers/graphql-go,v1.3.0,golang,0,0,0,0,,BSD-2-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,
github.com/grpc-ecosystem/grpc-gateway@v2.11.3,github.com/grpc-ecosystem/grpc-gateway,v2.11.3,golang,0,0,0,0,,BSD-3-Clause,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,
github.com/hashgraph/hedera-protobufs-go@v0.2.1-0.20240704081952-395063202d11,github.com/hashgraph/hedera-protobufs-go,v0.2.1-0.20240704081952-395063202d11,golang,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
github.com/hashicorp/go-bexpr@v0.1.10,github.com/hashicorp/go-bexpr,v0.1.10,golang,0,0,0,0,,MPL-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MPL-2.0,,,,
github.com/hashicorp/go-cleanhttp@v0.5.2,github.com/hashicorp/go-cleanhttp,v0.5.2,golang,0,0,0,0,,MPL-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MPL-2.0,,,,
github.com/hashicorp/go-retryablehttp@v0.7.4,github.com/hashicorp/go-retryablehttp,v0.7.4,golang,0,0,1,0,,MPL-2.0,hashgraph/hedera-sdk-go:go.mod,https://app.snyk.io/vuln/snyk:lic:MPL-2.0,,,,
